alfa, #resultado, tempo(ms), ultima_iteracao;
0.1,78,6302.91,500;
0.2,66,4201.81,500;
0.3,60,3388.46,500;
0.5,62,2703.69,500;
0.7,70,2393.97,500;
0.1,69,6451.88,500;
0.2,50,4173.52,500;
0.3,54,3413.9,500;
0.5,75,2703.78,500;
0.7,51,2375.46,500;
0.1,64,6401.6,500;
0.2,61,4238.54,500;
0.3,67,3435.43,500;
0.5,78,2697.48,500;
0.7,80,2384.35,500;
0.1,51,6372.53,500;
0.2,72,4144.11,500;
0.3,71,3399.01,500;
0.5,47,2702.43,500;
0.7,53,2383.63,500;
0.1,56,6444.34,500;
0.2,56,4256.72,500;
0.3,71,3391.38,500;
0.5,86,2708.98,500;
0.7,65,2379.42,500;
0.1,63,6321.93,500;
0.2,80,4185.52,500;
0.3,77,3405.09,500;
0.5,65,2706.47,500;
0.7,52,2387.16,500;
0.1,80,6456.06,500;
0.2,64,4188.18,500;
0.3,66,3431.43,500;
0.5,79,2699.95,500;
0.7,92,2396.1,500;
0.1,68,6276.62,500;
0.2,59,4217.23,500;
0.3,69,3446.47,500;
0.5,70,2715.07,500;
0.7,76,2374.19,500;
0.1,66,6180.44,500;
0.2,70,4135.2,500;
0.3,72,3411.83,500;
0.5,59,2707.74,500;
0.7,82,2381.2,500;
0.1,73,6335.51,500;
0.2,68,4251.93,500;
0.3,68,3398.53,500;
0.5,54,2713.72,500;
0.7,62,2387.52,500;
