alfa, #resultado, tempo(ms), ultima_iteracao;
0.1,428,80856.1,500;
0.2,454,71090.2,500;
0.3,442,66446,500;
0.5,410,61263,500;
0.7,470,58418.8,500;
0.1,451,81146.2,500;
0.2,409,70593.9,500;
0.3,424,66469.5,500;
0.5,422,61242.3,500;
0.7,417,58113.4,500;
0.1,426,80666.8,500;
0.2,436,71506.6,500;
0.3,403,66761.1,500;
0.5,421,64033.5,500;
0.7,441,60612.7,500;
0.1,425,83809.2,500;
0.2,440,71595.3,500;
0.3,411,67200.8,500;
0.5,411,62639.2,500;
0.7,405,59795.5,500;
0.1,418,82236.5,500;
0.2,450,70863.2,500;
0.3,455,66354.8,500;
0.5,443,61423.7,500;
0.7,447,58372.1,500;
