alfa, #resultado, tempo(ms), ultima_iteracao;
0.1,350,498790,500;
0.2,439,296027,500;
0.3,455,217179,500;
0.5,345,150523,500;
0.7,381,124779,500;
0.1,420,493980,500;
0.2,371,296204,500;
0.3,412,224871,500;
0.5,303,150994,500;
0.7,324,122498,500;
0.1,301,508746,500;
0.2,332,303711,500;
0.3,367,220468,500;
0.5,445,151362,500;
0.7,330,122950,500;
0.1,311,503384,500;
0.2,388,294710,500;
0.3,295,218210,500;
0.5,368,152571,500;
0.7,590,123034,500;
0.1,403,498063,500;
0.2,348,302026,500;
0.3,358,219952,500;
0.5,554,149596,500;
0.7,301,120844,500;
