alfa, #resultado, tempo(ms), ultima_iteracao;
0.1,175,60514.7,500;
0.2,206,40232,500;
0.3,163,32582.4,500;
0.5,235,25169.8,500;
0.7,253,21552,500;
0.1,183,66332.7,500;
0.2,187,42232.8,500;
0.3,188,33002.1,500;
0.5,214,25581.1,500;
0.7,179,22419.6,500;
0.1,210,63391.4,500;
0.2,191,43119,500;
0.3,183,32783.7,500;
0.5,191,25710.8,500;
0.7,187,22568.9,500;
0.1,190,62955.3,500;
0.2,256,39947.6,500;
0.3,174,31905.2,500;
0.5,230,24897.9,500;
0.7,233,21756.4,500;
0.1,243,62773.6,500;
0.2,179,40920.9,500;
0.3,233,32448.6,500;
0.5,227,24831.2,500;
0.7,212,21530.1,500;
