alfa, #resultado, tempo(ms), ultima_iteracao;
0.1,6,2625.09,500;
0.2,6,1554.51,500;
0.3,5,1096.02,500;
0.5,14,730.672,500;
0.7,6,568.946,500;
0.1,8,2665.12,500;
0.2,8,1555.57,500;
0.3,13,1098.98,500;
0.5,8,745.151,500;
0.7,7,565.989,500;
0.1,8,2624.55,500;
0.2,7,1593.64,500;
0.3,7,1086.7,500;
0.5,9,737.798,500;
0.7,6,571.865,500;
0.1,8,2617.75,500;
0.2,8,1549.19,500;
0.3,6,1071.53,500;
0.5,7,725.163,500;
0.7,10,569.709,500;
0.1,8,2637.69,500;
0.2,7,1584.74,500;
0.3,6,1069.54,500;
0.5,11,733.784,500;
0.7,7,576.063,500;
0.1,10,2634.61,500;
0.2,8,1566.63,500;
0.3,6,1071.86,500;
0.5,7,739.685,500;
0.7,16,571.369,500;
0.1,7,2559.14,500;
0.2,8,1524.2,500;
0.3,10,1059.25,500;
0.5,9,733.799,500;
0.7,16,562.743,500;
0.1,6,2652.47,500;
0.2,8,1580.27,500;
0.3,9,1081.82,500;
0.5,7,741.922,500;
0.7,9,564.664,500;
0.1,10,2534.79,500;
0.2,9,1574.23,500;
0.3,10,1076.85,500;
0.5,9,724.675,500;
0.7,8,568.003,500;
0.1,6,2622.13,500;
0.2,7,1568.07,500;
0.3,9,1087.03,500;
0.5,7,721.154,500;
0.7,7,571.013,500;
