alfa, #resultado, tempo(ms), ultima_iteracao;
0.1,296,24819.6,500;
0.2,279,22392.4,500;
0.3,282,21540.7,500;
0.5,252,20955.1,500;
0.7,248,20717.7,500;
0.1,285,23449.2,500;
0.2,275,22355.5,500;
0.3,296,21553.1,500;
0.5,288,20959.6,500;
0.7,274,20661.7,500;
0.1,279,23548,500;
0.2,282,21943,500;
0.3,284,21765,500;
0.5,287,21249.4,500;
0.7,276,21048.9,500;
0.1,297,23538.4,500;
0.2,277,21882.9,500;
0.3,280,21502.7,500;
0.5,259,21037.3,500;
0.7,246,20816.9,500;
0.1,276,24110.6,500;
0.2,271,22010.1,500;
0.3,286,21733.4,500;
0.5,283,21209.1,500;
0.7,275,20975.8,500;
