alfa, #resultado, tempo(ms), ultima_iteracao;
0.1,35,1162.27,500;
0.2,41,888.474,500;
0.3,32,761.274,500;
0.5,39,637.749,500;
0.7,36,575.781,500;
0.1,38,1160.08,500;
0.2,33,869.19,500;
0.3,39,751.833,500;
0.5,38,636.392,500;
0.7,27,574.012,500;
0.1,41,1157.04,500;
0.2,38,883.484,500;
0.3,37,756.426,500;
0.5,42,635.04,500;
0.7,32,576.496,500;
0.1,34,1162.46,500;
0.2,31,869.174,500;
0.3,28,756.218,500;
0.5,31,637.976,500;
0.7,38,575.053,500;
0.1,29,1160.9,500;
0.2,38,881.086,500;
0.3,32,756.92,500;
0.5,26,634.485,500;
0.7,40,576.522,500;
0.1,35,1164.61,500;
0.2,34,877.705,500;
0.3,31,754.844,500;
0.5,44,635.236,500;
0.7,27,573.399,500;
0.1,34,1156.01,500;
0.2,33,887.207,500;
0.3,27,760.988,500;
0.5,43,635.199,500;
0.7,40,574.247,500;
0.1,36,1151.21,500;
0.2,41,872.95,500;
0.3,38,759.678,500;
0.5,34,637.029,500;
0.7,36,577.349,500;
0.1,39,1154.63,500;
0.2,31,887.04,500;
0.3,34,758.934,500;
0.5,30,635.55,500;
0.7,30,575.546,500;
0.1,32,1140.47,500;
0.2,29,882.471,500;
0.3,41,757.918,500;
0.5,38,636.524,500;
0.7,34,576.312,500;
