alfa, #resultado, tempo(ms), ultima_iteracao;
0.1,48,887.139,500;
0.2,44,761.401,500;
0.3,47,705.497,500;
0.5,46,646.586,500;
0.7,36,612.123,500;
0.1,45,901.668,500;
0.2,44,758.984,500;
0.3,41,696.654,500;
0.5,46,644.189,500;
0.7,47,610.14,500;
0.1,46,939.284,500;
0.2,47,752.808,500;
0.3,46,700.252,500;
0.5,40,644.475,500;
0.7,45,611.504,500;
0.1,43,893.656,500;
0.2,48,761.383,500;
0.3,47,698.927,500;
0.5,38,643.764,500;
0.7,34,611.576,500;
0.1,47,892.501,500;
0.2,48,758.432,500;
0.3,42,697.727,500;
0.5,46,643.401,500;
0.7,37,612.896,500;
0.1,48,913.5,500;
0.2,40,760.225,500;
0.3,46,696.195,500;
0.5,49,645.202,500;
0.7,38,612.92,500;
0.1,42,907.698,500;
0.2,41,750.32,500;
0.3,45,696.687,500;
0.5,34,643.763,500;
0.7,34,610.839,500;
0.1,44,879.611,500;
0.2,45,753.971,500;
0.3,43,698.863,500;
0.5,39,641.405,500;
0.7,35,610.754,500;
0.1,45,896.293,500;
0.2,41,748.473,500;
0.3,46,702.839,500;
0.5,36,642.168,500;
0.7,40,609.929,500;
0.1,42,909.012,500;
0.2,47,754.248,500;
0.3,39,702.971,500;
0.5,44,644.042,500;
0.7,29,611.564,500;
